,Unnamed: 0,draft_season,player_id,player_name,position,height,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,spot_fifteen_corner_left,spot_fifteen_break_left,spot_fifteen_top_key,spot_fifteen_break_right,spot_fifteen_corner_right,spot_college_corner_left,spot_college_break_left,spot_college_top_key,spot_college_break_right,spot_college_corner_right,spot_nba_corner_left,spot_nba_break_left,spot_nba_top_key,spot_nba_break_right,spot_nba_corner_right,off_drib_fifteen_break_left,off_drib_fifteen_top_key,off_drib_fifteen_break_right,off_drib_college_break_left,off_drib_college_top_key,off_drib_college_break_right,on_move_fifteen,on_move_college,overall_pick,draft_type,organization,organization_type,player_profile_flag
24,24,2013,203483,Kenny Kadji,PF-C,80.75,82.0,241.6,87.0,106.5,7.45,9.0,10.25,34.0,38.0,11.47,2.88,3.44,9,0.2,0.6,0.6,0.4,0.6,0.4,0.8,0.2,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
25,25,2013,203499,Shane Larkin,PG,70.25,71.5,170.8,70.75,89.5,3.8,7.5,8.75,34.5,44.0,10.64,3.03,3.08,12,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8,0.6,0.4,1.0,0.6,0.4,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Draft,Miami (FL),College/University,1.0
26,26,2013,203495,Ricky Ledo,SG,76.75,78.0,197.2,79.25,102.5,10.25,8.5,9.25,27.0,33.5,10.72,3.16,3.32,4,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.6,0.4,0.2,0.4,0.4,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,Draft,Providence,College/University,1.0
27,27,2013,203522,Trevor Mbakwe,PF,78.75,80.0,235.8,88.0,106.5,5.9,9.5,11.5,30.0,36.5,12.01,2.97,3.32,21,0.4,0.6,0.2,0.8,0.6,0.6,0.6,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
28,28,2013,203492,Ray McCallum,PG,72.25,73.75,191.4,75.25,96.5,7.3,8.0,8.75,30.5,40.0,10.82,3.08,3.25,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.2,0.6,0.2,1.0,0.4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,Draft,Detroit Mercy,College/University,1.0
29,29,2013,203502,Tony Mitchell,PF-SF,79.5,80.75,236.4,86.5,106.5,5.55,9.0,10.0,33.5,38.0,11.82,3.25,3.52,13,0.6,0.6,0.6,0.6,0.6,0.4,0.6,1.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,Draft,North Texas,College/University,1.0
30,30,2013,203498,Shabazz Muhammad,SF-SG,76.75,78.25,221.8,83.0,104.5,9.0,9.0,10.0,29.5,37.0,10.99,2.93,3.32,10,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.4,0.4,0.4,0.6,0.2,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Draft,California-Los Angeles,College/University,1.0
31,31,2013,203513,Erik Murphy,PF,80.75,81.5,239.8,82.5,108.0,7.95,8.75,9.75,24.5,29.5,12.19,2.96,3.57,13,0.8,0.6,0.6,0.2,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,Draft,Florida,College/University,1.0
32,32,2013,203488,Mike Muscala,C-PF,82.25,83.5,230.2,85.0,108.0,6.8,8.5,9.0,28.0,33.5,11.76,2.99,3.44,5,0.8,1.0,1.0,0.8,0.6,0.4,1.0,0.8,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,Draft,Bucknell,College/University,1.0
33,33,2013,203482,Kelly Olynyk,PF-C,82.75,84.0,234.0,81.75,108.0,6.65,8.5,10.0,24.5,29.5,11.42,2.99,3.59,5,0.8,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.6,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Draft,Gonzaga,College/University,1.0
